Date,MAS Core Inflation Measure,    Percent Change Over Previous Month,    Percent Change Over Corresponding Period Of Previous Year,    Percent Change Over Previous Month,Services Inflation Measure,    Percent Change Over Previous Month,    Percent Change Over Corresponding Period Of Previous Year,Retail & Other Goods Inflation Measure,    Percent Change Over Corresponding Period Of Previous Year,Electricity & Gas Inflation Measure,    Percent Change Over Previous Month,    Percent Change Over Corresponding Period Of Previous Year
2024Dec,112.867,0.5,1.8,0.1,112.171,0.9,1.8,101.474,0.3,120.091,0,2.5
2024Nov,112.274,0,1.9,-0.6,111.164,0.1,2.2,101.386,0.1,120.056,0,2.5
2024Oct,112.299,-0.3,2.1,-0.2,111.063,-0.5,2.3,101.974,0.1,120.089,-1.5,2.5
2024Sep,112.62,0.1,2.8,-0.1,111.677,0.3,3.3,102.213,0.8,121.9,0,6.3
2024Aug,112.457,0.3,2.7,0,111.391,0.4,3.3,102.321,0.4,121.944,-0.1,6.6
2024Jul,112.162,-0.1,2.5,-0.1,110.897,-0.3,2.9,102.315,0.3,122.007,0.3,6.6
2024Jun,112.299,0,2.9,-1,111.19,0.2,3.4,102.366,0.5,121.686,-0.1,6.9
2024May,112.34,0.1,3.1,-0.4,110.913,0.1,3.6,103.437,1.5,121.756,0,6.9
2024Apr,112.219,0.4,3.1,1.3,110.855,0.2,3.5,103.827,1.6,121.752,-0.1,7.6
2024Mar,111.821,-0.2,3.1,-0.3,110.61,-0.1,3.9,102.535,0.7,121.853,0.4,4.8
2024Feb,112.086,0.5,3.6,0.6,110.746,0.5,4.2,102.857,1.2,121.371,0.2,5.2
2024Jan,111.531,0.6,3.1,1,110.226,0,3.3,102.236,1.4,121.122,3.4,5.3
2023Dec,110.866,0.6,3.3,-0.1,110.241,1.3,3.9,101.191,1.1,117.168,0,1.3
2023Nov,110.154,0.1,3.2,-0.6,108.809,0.2,3.5,101.242,1,117.157,0,1.5
2023Oct,110.033,0.4,3.3,0.4,108.61,0.4,3.4,101.832,1.6,117.147,2.2,1.8
2023Sep,109.602,0.1,3,-0.4,108.146,0.3,3.1,101.423,0.9,114.664,0.2,-1.4
2023Aug,109.465,0.1,3.4,-0.1,107.829,0.1,3.1,101.874,2,114.415,-0.1,-1.4
2023Jul,109.383,0.2,3.8,0.2,107.744,0.2,3.6,101.976,2.6,114.494,0.6,-1.6
2023Jun,109.163,0.2,4.2,-0.1,107.513,0.4,3.6,101.811,2.7,113.784,-0.1,3.1
2023May,108.957,0.1,4.7,-0.3,107.072,0,3.9,101.918,2.8,113.89,0.7,3.3
2023Apr,108.856,0.4,5,0.3,107.085,0.6,4.3,102.214,2.9,113.105,-2.7,2.7
2023Mar,108.441,0.2,5,0.2,106.424,0.1,3.4,101.858,3.3,116.237,0.8,12.2
2023Feb,108.173,0,5.5,0.8,106.27,-0.4,3.9,101.676,3.8,115.321,0.2,12.1
2023Jan,108.195,0.8,5.5,0.8,106.669,0.5,4.2,100.861,3.3,115.037,-0.5,11.5
2022Dec,107.316,0.6,5.1,-0.1,106.111,0.9,3.7,100.103,2.8,115.666,0.2,16.5
2022Nov,106.719,0.2,5.1,0,105.128,0.1,3.6,100.221,3.3,115.38,0.3,16.7
