0,"Total Unemployment Rate, (SA)","Resident Unemployment Rate, (SA)","Citizen Unemployment Rate, (SA)",Household Net Worth,    Assets,        Financial Assets,            Currency & Deposits,            Shares & Securities,                Listed Shares,                Unlisted Shares,                Unit Trusts & Investment Funds,            Life Insurance,            Central Provident Fund (CPF),            Pension Funds,        Residential Property Assets,            Public Housing,            Private Housing,    Liabilities,        Mortgage Loans,            Financial Institutions,            Housing & Development Board (HDB),        Personal Loans,            Motor Vehicle,            Credit/Charge Cards,            Others,0,GDP In Chained (2015) Dollars,    Goods Producing Industries,        Manufacturing,        Construction,        Utilities,        Other Goods Industries,    Services Producing Industries,        Wholesale & Retail Trade,            Wholesale Trade,            Retail Trade,        Transportation & Storage,        Accommodation & Food Services,            Accommodation,            Food & Beverage Services,        Information & Communications,        Finance & Insurance,"        Real Estate, Professional Services And Administrative & Support Services",            Real Estate,            Professional Services,            Administrative & Support Services,        Other Services Industries,            Public Administration & Defence,            Education,            Health & Social Services,"            Arts, Entertainment & Recreation",            Other Services - Others,    Ownership Of Dwellings,    Gross Value Added At Basic Prices,    Add: Taxes On Products
20244Q,1.9,2.8,2.9,3052040.2,3431440.9,1925062.2,658160.6,351132.6,150016,37328.3,163788.2,289499.2,609461.6,16808.1,1506378.7,663441.9,842936.8,379400.7,277384.3,233369.8,44014.5,102016.4,10717.5,16621.5,74677.4,0,146375.8,38306.1,31154.6,5240.1,1611.3,42,94302.1,21506.7,19458.2,1956.9,8870,2049.5,890.6,1112.6,9523.2,20384.4,18151.6,5672.2,8581.1,4034.1,13709.9,3130.8,3688.5,3766.2,1430,1679.6,5972.2,138399.2,7736.9
20243Q,1.9,2.6,2.7,2976551.1,3350578.6,1881260.9,633074.6,349577.9,152810.5,37024.7,159742.7,288348.3,593503.1,16756.9,1469317.7,646900.9,822416.8,374027.5,274729.2,231032.1,43697.1,99298.3,10522.4,15587.8,73188,0,142350.4,37429.7,30396.8,5096.6,1617.8,40.3,91839.8,20850.3,18908.4,1823.8,9203,2140.5,970.4,1112.3,9300.6,19361.3,17252.5,5521.2,7675.9,4250.7,13528.5,3111,3752,3782.5,1231.8,1635.7,5923.6,134988.6,7138.3
20242Q,2,2.7,2.8,2919647.9,3288024.2,1832632.8,629367.5,325669,145785.6,35973.4,143910,277030.5,583860.1,16705.7,1455391.4,630571.4,824820,368376.3,270319.2,227527.3,42791.9,98057.1,10211.8,15220.7,72624.7,0,137603.1,33882.9,27025.3,4802.6,1614.5,40.4,90594.4,20664.9,18758.2,1777.6,9085.8,1978.7,864.7,1068.2,9101.7,19271.3,16959.7,5487.4,7519.2,4158.1,13273.4,3094.5,3562.3,3718.9,1226,1652.2,5908.8,130579.4,6809.8
20241Q,2.1,2.9,3.1,2872703.3,3237721.6,1810903.7,623478,315652.4,137094.5,35142,143415.9,274873.7,580215.1,16684.5,1426818,612482.6,814335.4,365018.3,269258.9,226912,42346.9,95759.5,9909.4,14609.9,71240.1,0,135612.1,33674.5,26989.9,4767.2,1532.6,39.9,89216.3,20178.7,18235.6,1871.1,8539.4,2024.4,906.1,1066.3,8559.8,19300.2,16704.2,5379.2,7567,3940.9,13787.8,3296.6,3708.5,3524.7,1580.8,1650.7,5770.4,128816.3,6588
20234Q,2,2.7,2.9,2814508.3,3178795.1,1785432.6,611413.5,317090.2,134122.7,35118.4,147849.2,269236.4,571044,16648.5,1393362.5,599553.1,793809.4,364286.8,269043.3,227427.4,41615.9,95243.5,9828.5,14925.6,70489.4,0,139345.6,35960,29013.6,5017.1,1560.8,42.3,90127.1,20250.1,18244.6,1976.5,8549.9,2011.6,854.7,1115.7,9138,19211.3,17928.8,5480.1,8527.2,4057,13294.8,3096.3,3632.9,3546.8,1370.7,1630.8,5736.4,131754.9,7411.3
20233Q,2,2.9,3,2728779,3090032.2,1738383.5,607162.2,297024.2,123828,34924.5,138271.6,254295,563340.5,16561.6,1351648.7,593682.4,757966.3,361253.2,266682.9,225650.8,41032.1,94570.4,9806.5,13736.5,71027.3,0,134613.1,34095.4,27332.2,4826.2,1575.7,40.8,87958.8,19750.8,17845,1836.5,8526.7,2091.1,918.8,1127.2,8942.6,18340.4,17069.2,5464.7,7583.9,4202.8,13257.5,3087.9,3655.3,3579,1343.5,1574.3,5632,127721.6,6674
20232Q,1.9,2.7,2.9,2700112.9,3059937.5,1722043.4,606246.1,281825.5,118074.8,34227.3,129523.4,261001.2,556495.8,16474.8,1337894.1,586981.3,750912.8,359824.6,264888.7,224421.8,40466.9,94935.9,9744.7,13289.2,71902,0,133017.3,33656.7,27192.3,4541.4,1565,37.3,87053.5,19784.4,17887.9,1816.9,8622.3,1960.4,828.3,1092.2,8583.3,17938.7,16886.9,5633,7384.7,4098.5,12913.9,3092,3491,3560,1171.7,1576.5,5633.5,126370.6,6415.3
20231Q,1.8,2.6,2.7,2656059.7,3014560,1692158.1,589556.9,280796.7,118418.4,34130.1,128248.2,256469.7,548896.1,16438.8,1322401.9,577220.3,745181.6,358500.4,263352.1,223885.4,39466.7,95148.2,9658.1,12614.1,72876.1,0,131343.8,33825,27303.5,4669.2,1502.9,37.4,85389.5,19640.1,17745,1826.1,8042.2,1891,789.9,1063.4,8097.8,17823.3,16640.7,5427.9,7468.5,3943.7,13226.8,3284.2,3655.4,3405.2,1276.1,1566.7,5505.4,124661.2,6466.2
20224Q,2,2.7,2.9,2578617.6,2939020.1,1661258.2,571190.3,280064.6,113815.6,34136.2,132112.8,248692.1,544823.7,16487.5,1277761.9,566165,711596.9,360402.6,262949.3,224477.6,38471.7,97453.2,9704.1,13178.6,74570.5,0,135140.6,35209.8,28514.1,4782,1550.6,40.1,87381.7,20168.4,18166.3,1956.3,8245.9,1971.8,842.5,1105.7,8212.3,17883.8,17938.7,5592.6,8393.3,4112.5,12790.8,3088.9,3572.8,3437,1161.5,1503.6,5551,128001.2,6934.2
20223Q,2.1,2.9,3,2532728.2,2896129.7,1635380,569251,265943.8,101263.1,34040.2,130640.5,243375,540205.2,16605,1260749.6,553154.9,707594.7,363401.4,261121.4,223234.7,37886.7,102280,9915.9,12126.8,80237.3,0,132091.7,35231.2,28729.1,4607.1,1531.8,38.8,84951.4,19464.9,17614.7,1765.2,8326,1893.9,794.4,1072.1,8018.4,17411.4,16760.7,5347.9,7364,4223.7,12748.2,3099.6,3562.3,3446.2,1180.8,1431.7,5525,125453.4,6417.3
